epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.119474271774292,6.58,3.6200109317803837,13.16,0.001
2,3.773591275024414,10.8225,3.359367375161238,19.06,0.001
3,3.6248238540649416,12.8325,3.2591822769991152,21.35,0.001
4,3.532185366821289,14.3325,3.0928224484631968,23.31,0.001
5,3.447629878616333,15.6475,3.0030376151868494,25.33,0.001
6,3.3680684059143067,16.79,2.9483290736083014,26.4,0.001
7,3.3135195266723634,17.825,2.865580467661475,27.39,0.001
8,3.2885507942199705,18.26,2.852028798145853,28.07,0.001
9,3.2545247150421144,18.705,2.8112981456100563,28.42,0.001
10,3.221441346740723,19.3925,2.784381140569213,29.22,0.001
11,3.1563306324005125,20.425,2.6867713730806,31.36,0.0005
12,3.1254518085479734,21.2075,2.6804306841200325,31.61,0.0005
13,3.1210699291229247,21.3,2.668522740625272,31.52,0.0005
14,3.10102829208374,21.6075,2.6583314367160678,31.93,0.0005
15,3.100190170669556,21.6075,2.6471294612641545,32.25,0.0005
16,3.076922253036499,22.3325,2.6306286663006824,32.38,0.0005
17,3.0723877132415773,22.3425,2.631452826177998,33.17,0.0005
18,3.060151863861084,22.1875,2.6182566387638166,33.37,0.0005
19,3.055429570388794,22.77,2.601880829805022,33.06,0.0005
20,3.0437334796905517,22.5575,2.584288434617838,33.87,0.0005
21,3.0036815685272216,23.375,2.5508883895388075,34.64,0.00025
22,2.9969515991210938,23.6275,2.5432212352752686,34.87,0.00025
23,2.993262916183472,23.7275,2.5545413129648584,34.92,0.00025
24,2.983918095779419,23.735,2.5174197087621994,35.03,0.00025
25,2.9872128131866456,23.8275,2.5276502864375994,35.21,0.00025
26,2.9870716567993165,23.67,2.53107771600128,35.1,0.00025
27,2.977146562576294,23.9725,2.5186995290646887,35.54,0.00025
28,2.9758745574951173,24.085,2.514800594111157,35.39,0.00025
29,2.962058341217041,23.9475,2.5187476926548467,35.42,0.00025
30,2.96895079498291,24.2075,2.5077458384690012,35.72,0.00025
