epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.341197692548124,4.6675,4.097367117676554,7.28,0.01
2,4.045770267328134,9.06,3.881032107751581,13.18,0.01
3,3.867216773688222,12.9025,3.665777550467962,17.64,0.01
4,3.7246001444685573,16.375,3.525798356985744,20.82,0.01
5,3.599715448416079,19.2675,3.401514946659909,24.74,0.01
6,3.4882142665668034,21.955,3.2996165058280846,26.96,0.01
7,3.3996066940478245,24.3725,3.189214630971981,29.32,0.01
8,3.3120947074585447,26.3425,3.083922271487079,32.36,0.01
9,3.2383679025851118,28.2025,3.0066758530049382,34.58,0.01
10,3.1721335744705446,29.69,2.911462548412854,37.32,0.01
11,3.0421958007751564,33.37,2.8084605343734164,40.39,0.005
12,2.994711556754554,34.525,2.7768681652938265,41.09,0.005
13,2.9588296222991457,35.5925,2.7437070261074017,42.1,0.005
14,2.9223017266002325,36.5425,2.7203659890573237,42.67,0.005
15,2.8885518445755345,37.5275,2.659946028190323,44.22,0.005
16,2.8602812396832547,38.6975,2.6252194446853445,45.48,0.005
17,2.8340545530898122,39.2325,2.5955022286765184,46.36,0.005
18,2.802009306776638,40.225,2.5908145814002315,46.82,0.005
19,2.7849129373654007,40.3225,2.5571056347859056,47.26,0.005
20,2.7580079445823693,41.3175,2.5384250290786166,47.44,0.005
21,2.6990723434728556,43.0975,2.4851926700978337,49.13,0.0025
22,2.6819962518283735,43.3425,2.47164673443082,49.45,0.0025
23,2.665474299043893,44.095,2.4683291308487516,49.71,0.0025
24,2.6496094590939654,44.5275,2.461344396011739,49.58,0.0025
25,2.635297441634888,44.73,2.443000576164149,50.02,0.0025
26,2.627743954094835,45.0825,2.429131776471681,50.6,0.0025
27,2.612323202645055,45.765,2.420097278643258,51.01,0.0025
28,2.6041727492603632,45.8475,2.419468273090411,50.78,0.0025
29,2.5919215846747257,46.3975,2.3999703896196585,51.34,0.0025
30,2.5826776941744285,46.365,2.393859123881859,51.4,0.0025
31,2.5546274314673183,47.18,2.3757777998719036,52.06,0.00125
32,2.546478964650212,47.555,2.3596999645233154,52.81,0.00125
33,2.5397798291410503,47.7625,2.3560341370256643,52.97,0.00125
34,2.528057316240792,48.07,2.3510078055949153,52.72,0.00125
35,2.5281401190894863,48.2775,2.3463283007657982,53.03,0.00125
36,2.522493493442718,48.405,2.338459633573701,53.26,0.00125
37,2.517048468605017,48.5275,2.3389113190807875,53.46,0.00125
38,2.5130017207453426,48.505,2.3351710053938852,53.79,0.00125
39,2.501124337077522,48.855,2.332753278032134,53.86,0.00125
40,2.500114704473331,48.83,2.333347682711444,53.64,0.00125
41,2.4925794532885566,49.31,2.316760639601116,53.85,0.000625
42,2.478875605062174,49.595,2.311215159259265,54.12,0.000625
43,2.476688087176972,49.7,2.3141861957839773,54.24,0.000625
44,2.4788906970344033,49.7925,2.308593309378322,54.31,0.000625
45,2.4662097528719675,49.935,2.3037335691572745,54.4,0.000625
46,2.467542662788123,50.0425,2.3040474155281165,54.33,0.000625
47,2.4737814737204165,49.735,2.3062950116169603,54.43,0.000625
48,2.4627849530107295,50.0975,2.307021113890636,54.22,0.000625
49,2.4606478343756435,50.085,2.2982007974310767,54.27,0.000625
50,2.4588784973461406,50.135,2.2941454301906536,54.53,0.000625
