epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.268373941841979,4.6925,4.032400991343245,7.08,0.01
2,3.8719767465378148,9.6125,3.697144454038596,13.46,0.01
3,3.632836525432599,13.4775,3.3591466493244413,18.66,0.01
4,3.4363131774500157,17.0825,3.148152816144726,23.04,0.01
5,3.257950715744457,20.28,3.0072993417329426,26.22,0.01
6,3.10571471875468,23.08,2.8945221086091633,27.6,0.01
7,2.9836631438221795,25.5225,2.7877152509327177,29.99,0.01
8,2.8615673159638915,27.8825,2.5647627069980286,33.97,0.01
9,2.764924446995647,29.6725,2.468024573748625,36.2,0.01
10,2.6671913568965926,31.825,2.36163526547106,38.54,0.01
11,2.4992024334855736,35.1775,2.2034593382968177,42.04,0.005
12,2.443352696994623,36.2825,2.181501308573952,42.62,0.005
13,2.388846075953767,37.15,2.1147331950030748,44.03,0.005
14,2.3417986658053658,38.5875,2.0858230470102046,44.48,0.005
15,2.3076494958834908,39.08,2.06402213211301,44.99,0.005
16,2.266690143381064,39.98,2.035610129561605,45.66,0.005
17,2.2419962429771787,40.55,1.9823738261114192,46.8,0.005
18,2.210450522434978,41.2375,1.9461129526548748,47.7,0.005
19,2.1828852271119628,41.73,1.9450342142129247,47.72,0.005
20,2.1594646140790212,42.5725,1.9162249942369098,48.0,0.005
21,2.0746387288974115,44.145,1.8411087356036222,49.85,0.0025
22,2.0399704725978474,44.9025,1.8349907790558249,50.01,0.0025
23,2.027911146608785,45.22,1.8178780561761012,50.6,0.0025
24,2.0154919624328613,45.5575,1.8056403504142278,50.74,0.0025
25,1.9861756163283277,46.3475,1.7893754545646379,51.59,0.0025
26,1.9839243885046376,46.3275,1.7718483556675007,52.1,0.0025
27,1.9602334385101026,46.7175,1.774159697037709,52.02,0.0025
28,1.949424415350722,47.245,1.7654802029645895,52.22,0.0025
29,1.9376113471893457,47.405,1.7465635357023794,52.55,0.0025
30,1.927869934243516,47.49,1.7478322982788086,52.57,0.0025
31,1.8862465677169946,48.2875,1.7173716659787335,53.06,0.00125
32,1.8731695196499079,48.9775,1.7028143013579935,53.58,0.00125
33,1.8631890776058355,49.0925,1.7032730896261674,53.71,0.00125
34,1.869662921268719,48.7525,1.685971572429319,53.74,0.00125
35,1.8460886706940283,49.1875,1.7008292901365063,53.53,0.00125
36,1.8514213394433165,49.2375,1.684966496274441,54.11,0.00125
37,1.8355395630144844,49.475,1.6839870486078383,54.01,0.00125
38,1.8334380045485572,49.66,1.6751040356068672,54.37,0.00125
39,1.8281803938527457,49.77,1.6747659897502465,54.54,0.00125
40,1.8187693151803062,50.21,1.6714869088764432,54.3,0.00125
41,1.8002326061931282,50.3475,1.653260665603831,54.69,0.000625
42,1.8075849309135168,50.0275,1.6497426757329627,54.9,0.000625
43,1.7892265117968233,50.5,1.6569195186035544,54.76,0.000625
44,1.799958425588882,50.465,1.646789182590533,54.93,0.000625
45,1.7808496586430949,50.96,1.6424531197246117,55.15,0.000625
46,1.7798649198331011,50.8425,1.6408815912053556,54.97,0.000625
47,1.7729047860581273,50.9925,1.6459254705453221,55.13,0.000625
48,1.7668263028604916,51.3475,1.6379870161225525,55.26,0.000625
49,1.7652715600717563,51.1575,1.6344245974021623,55.15,0.000625
50,1.7676249068385115,51.1975,1.633947016317633,55.6,0.000625
